"","Row.Names","NMDS1","NMDS2","Species","Pollinator","Pair","species2","Salvia"
"ScutSuf_B2","ScutSuf_B2",0.155463242569183,0.321640554500444,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutSuf_B3","ScutSuf_B3",0.160507073155939,0.283115351399493,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutSuf_B4","ScutSuf_B4",0.136117520859969,0.236958078659916,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutWri_1","ScutWri_1",0.197902903699974,0.20372618676336,"ScutWri_19","BEE",NA,"Scutellaria wrightii","NO"
"ScutWri_2","ScutWri_2",0.140566402924722,0.168935820209201,"ScutWri_19","BEE",NA,"Scutellaria wrightii","NO"
"ScutWri_3","ScutWri_3",0.167468628635122,0.212043107045084,"ScutWri_19","BEE",NA,"Scutellaria wrightii","NO"
"ScutWri_4","ScutWri_4",0.16378311302626,0.157733689687726,"ScutWri_19","BEE",NA,"Scutellaria wrightii","NO"
"ScutWri_5","ScutWri_5",0.188178925349625,0.240741496938043,"ScutWri_19","BEE",NA,"Scutellaria wrightii","NO"
"ScutWri_6","ScutWri_6",0.18793747643778,0.173122755102248,"ScutWri_19","BEE",NA,"Scutellaria wrightii","NO"
"ScutWri_7","ScutWri_7",0.171111544497107,0.173976283188244,"ScutWri_19","BEE",NA,"Scutellaria wrightii","NO"
"ScutWri_8","ScutWri_8",0.159264467961414,0.162611494769552,"ScutWri_19","BEE",NA,"Scutellaria wrightii","NO"
"StaCoc_1","StaCoc_1",-0.00958299339383874,0.076480565462062,"StaCoc_20","BIRD",NA,"Stachys coccinea","NO"
"StaCoc_2","StaCoc_2",0.00394316959476843,0.0835419173661955,"StaCoc_20","BIRD",NA,"Stachys coccinea","NO"
"StaCoc_3","StaCoc_3",-0.0311802172456547,0.10273962845283,"StaCoc_20","BIRD",NA,"Stachys coccinea","NO"
"StaCoc_4","StaCoc_4",-0.0502160846045375,0.129770616128583,"StaCoc_20","BIRD",NA,"Stachys coccinea","NO"
"StaCoc_5","StaCoc_5",-0.000424030305096938,0.0681504527359799,"StaCoc_20","BIRD",NA,"Stachys coccinea","NO"
